Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB
54,0,4,5,84.5,205
28,1,4,24,82.06,239
57,1,0,12,52.29,62
19,1,1,19,32.57,173
56,0,3,8,33.52,314
27,0,2,15,62.19,344
54,1,0,1,39.97,457
40,0,0,18,83.78,208
54,0,4,19,71.98,242
35,0,0,7,67.26,458
35,0,0,17,53.41,156
37,1,3,21,79.36,179
26,0,1,16,74.83,406
20,0,1,20,37.15,90
40,0,4,8,75.61,497
32,0,1,16,67.49,463
58,0,4,22,89.2,464
44,0,0,24,36.47,353
67,0,4,19,59.15,347
20,1,0,18,56.79,141
59,0,2,17,52.13,82
21,1,0,13,54.36,277
42,0,1,19,61.33,270
58,1,4,14,32.66,181
61,1,1,3,73.12,451
44,1,3,23,62.02,279
31,0,0,15,95.01,63
64,1,0,12,42.31,268
56,1,1,4,37.36,311
67,1,4,10,45.53,125
29,1,1,10,69.75,382
22,1,0,20,47.9,469
66,1,2,24,84.04,471
66,1,3,10,85.1,319
47,1,4,23,42.91,88
24,1,0,11,53.54,157
58,0,1,18,88.47,163
47,0,0,12,68.39,89
36,1,1,9,31.27,163
33,1,1,23,51.54,429
22,1,0,20,75.02,304
58,1,2,1,84.66,294
47,0,3,2,84.56,243
48,0,1,18,89.95,146
64,0,4,1,68.4,263
64,1,1,3,83.69,245
28,0,4,15,87.29,254
29,1,0,9,61.57,352
63,1,2,18,81.14,357
41,1,1,18,30.65,315
45,1,4,1,33.53,233
47,0,4,13,30.06,230
34,1,3,3,80.57,395
32,0,4,7,53.49,440
61,1,3,18,95.01,485
44,1,1,3,88.26,170
49,0,2,23,47.56,357
45,0,0,11,34.45,98
31,0,4,19,44.05,448
26,0,3,22,32.98,88
55,1,1,18,61.93,144
53,1,4,13,44.26,409
26,1,3,16,34.46,142
40,0,1,1,94.14,116
34,0,0,24,50.61,281
68,1,4,17,45.91,164
30,1,2,3,66.31,300
36,0,2,8,58.07,272
60,1,3,14,77.0,90
37,1,4,19,51.29,154
63,0,2,9,94.25,274
25,0,0,22,30.0,109
30,0,2,4,61.63,297
18,1,4,23,39.56,347
56,1,3,1,80.38,317
31,1,4,20,49.62,480
39,1,1,15,68.11,419
54,0,2,23,51.73,397
21,1,2,23,98.68,159
21,0,4,20,76.35,72
54,0,1,18,55.8,353
27,0,1,3,66.67,229
20,0,2,13,53.71,466
48,1,3,20,78.32,315
62,0,4,1,97.02,433
46,0,1,19,86.15,100
33,1,2,9,76.04,469
54,1,1,9,67.26,350
50,1,0,7,56.75,233
41,1,3,10,43.45,282
64,0,3,21,37.42,268
58,1,2,2,57.12,328
45,0,4,19,80.59,237
57,1,3,12,47.81,199
46,1,0,20,46.82,423
55,1,3,14,58.65,266
26,0,4,11,98.1,67
48,1,4,3,61.55,486
53,1,3,23,51.89,211
42,0,1,1,66.54,149
70,0,0,23,97.73,197
70,1,4,13,77.88,288
46,0,3,3,42.79,401
68,1,1,9,69.38,421
24,1,3,8,74.32,325
25,1,2,9,47.34,60
39,1,4,20,85.82,94
46,0,4,22,30.02,222
40,1,1,23,39.53,442
55,0,1,10,64.1,197
61,1,1,9,88.1,403
20,1,3,15,73.81,427
18,0,4,4,69.03,198
51,0,2,14,81.4,249
61,1,2,21,67.56,426
66,1,0,8,47.26,126
19,1,1,20,82.05,383
55,0,4,8,94.84,330
40,1,2,22,61.72,349
18,0,3,8,47.86,411
36,0,3,5,95.16,389
65,0,1,12,61.64,461
18,0,2,13,93.51,121
37,0,3,1,87.86,352
30,0,0,13,83.25,483
24,0,2,19,74.29,437
34,0,0,5,94.77,397
